"gender","age","attitude","deep","stra","surf","points"
"F",53,3.7,0.298611111111111,0.421875,0.215277777777778,25
"M",55,3.1,0.243055555555556,0.34375,0.263888888888889,12
"F",49,2.5,0.291666666666667,0.453125,0.1875,24
"M",53,3.5,0.291666666666667,0.390625,0.1875,10
"M",49,3.7,0.305555555555556,0.453125,0.236111111111111,22
"F",38,3.8,0.395833333333333,0.453125,0.201388888888889,21
"M",50,3.5,0.319444444444444,0.28125,0.159722222222222,21
"F",37,2.9,0.270833333333333,0.5,0.236111111111111,31
"M",37,3.8,0.361111111111111,0.53125,0.180555555555556,24
"F",42,2.1,0.333333333333333,0.4375,0.25,26
"M",37,3.9,0.298611111111111,0.453125,0.222222222222222,31
"F",34,3.8,0.319444444444444,0.59375,0.201388888888889,31
"F",34,2.4,0.354166666666667,0.453125,0.1875,23
"F",34,3,0.277777777777778,0.4375,0.229166666666667,25
"M",35,2.6,0.347222222222222,0.21875,0.194444444444444,21
"F",33,4.1,0.305555555555556,0.484375,0.194444444444444,31
"F",32,2.6,0.340277777777778,0.171875,0.243055555555556,20
"F",44,2.6,0.291666666666667,0.40625,0.208333333333333,22
"M",29,1.7,0.340277777777778,0.375,0.3125,9
"F",30,2.7,0.333333333333333,0.46875,0.229166666666667,24
"M",27,3.9,0.326388888888889,0.328125,0.194444444444444,28
"M",29,3.4,0.333333333333333,0.296875,0.201388888888889,30
"F",31,2.7,0.333333333333333,0.453125,0.25,24
"F",37,2.3,0.305555555555556,0.34375,0.201388888888889,9
"F",26,3.7,0.305555555555556,0.21875,0.236111111111111,26
"F",26,4.4,0.368055555555556,0.40625,0.263888888888889,32
"M",30,4.1,0.326388888888889,0.5,0.25,32
"F",33,3.7,0.3125,0.453125,0.166666666666667,33
"F",33,2.5,0.270833333333333,0.359375,0.291666666666667,29
"M",28,3,0.298611111111111,0.375,0.3125,30
"M",26,3.4,0.409722222222222,0.203125,0.208333333333333,19
"F",27,3.2,0.298611111111111,0.40625,0.173611111111111,23
"F",25,2,0.243055555555556,0.4375,0.201388888888889,19
"F",31,2.4,0.305555555555556,0.375,0.215277777777778,12
"M",20,4.2,0.375,0.40625,0.131944444444444,10
"F",39,1.6,0.340277777777778,0.234375,0.236111111111111,11
"M",38,3.1,0.319444444444444,0.546875,0.152777777777778,20
"M",24,3.8,0.270833333333333,0.453125,0.201388888888889,26
"M",26,3.8,0.194444444444444,0.3125,0.270833333333333,31
"M",25,3.3,0.277777777777778,0.15625,0.284722222222222,20
"F",30,1.7,0.340277777777778,0.5,0.284722222222222,23
"F",25,2.5,0.243055555555556,0.375,0.263888888888889,12
"M",30,3.2,0.277777777777778,0.3125,0.291666666666667,24
"F",48,3.5,0.319444444444444,0.609375,0.222222222222222,17
"F",24,3.2,0.305555555555556,0.625,0.201388888888889,29
"F",40,4.2,0.388888888888889,0.546875,0.298611111111111,23
"M",25,3.1,0.3125,0.40625,0.173611111111111,28
"F",23,3.9,0.284722222222222,0.5,0.3125,31
"F",25,1.9,0.347222222222222,0.390625,0.243055555555556,23
"F",23,2.1,0.243055555555556,0.3125,0.243055555555556,25
"M",27,2.5,0.347222222222222,0.390625,0.201388888888889,18
"M",25,3.2,0.298611111111111,0.40625,0.25,19
"M",23,3.2,0.236111111111111,0.265625,0.284722222222222,22
"F",23,2.6,0.333333333333333,0.34375,0.243055555555556,25
"F",23,2.3,0.243055555555556,0.296875,0.270833333333333,21
"F",45,3.8,0.25,0.390625,0.270833333333333,9
"F",22,2.8,0.340277777777778,0.5,0.194444444444444,28
"F",23,3.3,0.243055555555556,0.5,0.270833333333333,25
"M",21,4.8,0.291666666666667,0.28125,0.208333333333333,29
"M",21,4,0.361111111111111,0.40625,0.145833333333333,33
"F",21,4,0.354166666666667,0.453125,0.1875,33
"F",21,4.7,0.284722222222222,0.453125,0.173611111111111,25
"F",26,2.3,0.256944444444444,0.3125,0.236111111111111,18
"F",25,3.1,0.381944444444444,0.234375,0.236111111111111,22
"F",26,2.7,0.284722222222222,0.25,0.201388888888889,17
"M",21,4.1,0.284722222222222,0.234375,0.1875,25
"F",23,3.4,0.284722222222222,0.5,0.236111111111111,28
"F",22,2.5,0.298611111111111,0.359375,0.1875,22
"F",22,2.1,0.131944444444444,0.484375,0.152777777777778,26
"F",22,1.4,0.277777777777778,0.3125,0.243055555555556,11
"F",23,1.9,0.361111111111111,0.34375,0.243055555555556,29
